code ,name_en ,,,,,,,,,
126,Gucha County Council,,,,,,,,,
136,Homa Bay County Council,,,,,,,,,
141,Homa Bay Municipal Council,,,,,,,,,
146,Isiolo County Council,,,,,,,,,
151,Iten-Tambach Town Council,,,,,,,,,
156,Kabarnet Municipal Council,,,,,,,,,
161,Kajiado Town Council,,,,,,,,,
166,Kakamega County Council,,,,,,,,,
171,Kakamega Municipal Council,,,,,,,,,
186,Kangundo Town Council,,,,,,,,,
191,Kapenguria Municipal Council,,,,,,,,,
196,Kapsabet Municipal Council,,,,,,,,,
216,Keiyo County Council,,,,,,,,,
226,Kericho Municipal Council,,,,,,,,,
241,Kiambu County Council,,,,,,,,,
256,Kilifi County Council,,,,,,,,,
261,Kilifi Town Council,,,,,,,,,
271,Kipkelion Town Council,,,,,,,,,
276,Kipsigis County Council,,,,,,,,,
281,Kirinyaga County Council,,,,,,,,,
286,Kisii Municipal Council,,,,,,,,,
296,Kisumu Municipal Council,,,,,,,,,
306,Kitui County Council,,,,,,,,,
316,Koibatek County Council,,,,,,,,,
321,Kwale County Council,,,,,,,,,
331,Laikipia County Council,,,,,,,,,
336,Lamu County Council,,,,,,,,,
341,Limuru Municipal Council,,,,,,,,,
346,Litein Town Council,,,,,,,,,
356,Londiani Town Council,,,,,,,,,
361,Luanda Town Council,,,,,,,,,
366,Lugari County Council,,,,,,,,,
371,Machakos Municipal Council,,,,,,,,,
376,Makueni County Council,,,,,,,,,
381,Makuyu Town Council,,,,,,,,,
386,Malaba Town Council,,,,,,,,,
391,Malakisi Town Council,,,,,,,,,
401,Malindi County Council,,,,,,,,,
411,Mandera County Council,,,,,,,,,
416,Mandera Town Council,,,,,,,,,
421,Maragwa County Council,,,,,,,,,
436,Maralal Town Council,,,,,,,,,
441,Mariakani Town Council,,,,,,,,,
446,Marsabit County Council,,,,,,,,,
451,Masaku County Council,,,,,,,,,
461,Matuu Town Council,,,,,,,,,
476,Mbeere County Council,,,,,,,,,
481,Mbita Point Town Council,,,,,,,,,
486,Meru County Council,,,,,,,,,
496,Meru South County Council,,,,,,,,,
501,Migori County Council,,,,,,,,,
506,Migori Municipal Council,,,,,,,,,
511,Molo Town Council,,,,,,,,,
516,Mombasa Municipal Council,,,,,,,,,
526,Moyale County Council,,,,,,,,,
531,Mtito Andei Town Council,,,,,,,,,
541,Mumias Municipal Council,,,,,,,,,
551,Murang`a Municipal Council,,,,,,,,,
556,Mwingi County Council,,,,,,,,,
561,Mwingi Town Council,,,,,,,,,
566,Naivasha Municipal Council,,,,,,,,,
581,Nambale Town Council,,,,,,,,,
586,Nandi County Council,,,,,,,,,
591,Nandi-Hills Town Council,,,,,,,,,
601,Narok County Council,,,,,,,,,
606,Narok Town Council,,,,,,,,,
616,Nyahururu Municipal Council,,,,,,,,,
636,Nyamira County Council,,,,,,,,,
646,Nyandarua County Council,,,,,,,,,
