org_id,name,name_simple,country_code,country_name,org_type,org_type_code,source_dataset,source_url
AM-COA-105021,State Migration Service of the Ministry of Territorial Administration of RA (Armenia),State Migration Service of the Ministry of Territorial Administration of RA,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-400000,Community budgets (Armenia),Community budgets,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-105041,RA National Security Council State Protection Service (Armenia),RA National Security Council State Protection Service,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-105042,Ministry of Agriculture of RA Food Safety Service (Armenia),Ministry of Agriculture of RA Food Safety Service,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-104025,Ministry of Finance of RA (medical insurance section) (Armenia),Ministry of Finance of RA (medical insurance section),AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-301020,Other bodies (Armenia),Other bodies,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-301021,Other bodies (Armenia),Other bodies,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-301022,Other bodies (Armenia),Other bodies,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-105043,The State Committee of Architecture to the Government of RA (Armenia),The State Committee of Architecture to the Government of RA,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-105044,The Investigation Committee (Armenia),The Investigation Committee,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-104026,The Ministry of International Economic Integration and Reform (Armenia),The Ministry of International Economic Integration and Reform,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-104026,Ministry of International Economic Integration and Reforms of the Republic of Arme (Armenia),Ministry of International Economic Integration and Reforms of the Republic of Arme,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-105045,State Committee on Urban Development under the RA Government (Armenia),State Committee on Urban Development under the RA Government,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-105046,State Tourism Committee of the Ministry of Economic Development and Investments of (Armenia),State Tourism Committee of the Ministry of Economic Development and Investments of,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-105047,Penitentiary Department of the Ministry of Justice of the Republic of Armenia (Armenia),Penitentiary Department of the Ministry of Justice of the Republic of Armenia,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-105048,Enforcement Service of Judicial Acts of the Ministry of Justice of the Republic of (Armenia),Enforcement Service of Judicial Acts of the Ministry of Justice of the Republic of,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-105049,Ethics Committee for Senior Officials (Armenia),Ethics Committee for Senior Officials,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-105050,State Forestry Committee of the Ministry of Nature Protection of RA (Armenia),State Forestry Committee of the Ministry of Nature Protection of RA,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-105051,RA State Supervisory Service (Armenia),RA State Supervisory Service,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
BD-COA-101,President's Office (Bangladesh),President's Office,BD,Bangladesh,Government,10,2019 Budget,https://drive.google.com/file/d/1DCyqTtBlhNo2Exj27nYeGMo_nP-BLud6/view?usp=sharing
BD-COA-102,Bangladesh Parliament (Bangladesh),Bangladesh Parliament,BD,Bangladesh,Government,10,2019 Budget,https://drive.google.com/file/d/1DCyqTtBlhNo2Exj27nYeGMo_nP-BLud6/view?usp=sharing
